Headline,Summary,Category,Date Published,Link to Article
White coat syndrome or white coat logo syndrome? The pitfalls of doctor shopping by “brand”,"Branding has the power to influence people, but it should not necessarily be a significant, or the only, factor when it comes to health care. Picking a physician based on the name of their hospital does not always correlate with quality of care, and it could even cost you a larger copay. ","Paul G. Mathew, MD, FAAN, FAHS","March 10, 2017",https://www.health.harvard.edu/blog/white-coat-syndrome-white-coat-logo-syndrome-pitfalls-doctor-shopping-brand-2017031011278
Time spent in “green” places linked with longer life in women,"Greenery might do more than just cheer us up. A recent study shows it lowers the mortality rate in women. Green spaces decrease levels of depression and pollution while increasing levels of social engagement and physical activity. If you are lucky enough to be surrounded greenery, get out there and enjoy it more. Even urban areas can increase their greenery by planting more trees and shrubs. See if you can get your community to plant more plants. It will help everyone out in the long run.","Elizabeth Pegg Frates, MD","March 9, 2017",https://www.health.harvard.edu/blog/time-spent-green-places-linked-longer-life-women-2017030911152
How to rediscover meaning in your life,People who feel their life have meaning are less depressed and recover from illness more quickly. But that feeling of meaning can slip away when life hands you lemons. One of the best ways to reconnect with that sense of significance might just be stepping away from your routine and embracing spontaneity. ,"Srini Pillay, MD","March 8, 2017",https://www.health.harvard.edu/blog/how-to-rediscover-meaning-in-your-life-2017030811265
Parents: Call the doctor right away for these 4 symptoms,"Most parents know when their child needs to be seen by a medical professional, but certain symptoms should be considered warning signs that require immediate attention. If your child perks up, or stops crying, or otherwise looks completely fine once you see a doctor, don’t feel silly. These symptoms terrify doctors, so it’s always better to be safe than very, very sorry.",Child & Teen Health,"March 7, 2017",https://www.health.harvard.edu/blog/parents-call-the-doctor-right-away-for-these-4-symptoms-2017030711314
The tricky thing about asthma,"While a new study found that a significant percentage of people who had been diagnosed with asthma did not meet the official criteria for a diagnosis, the behavior of asthma can make diagnosing it a challenge.","Monique Tello, MD, MPH","March 6, 2017",https://www.health.harvard.edu/blog/tricky-thing-asthma-2017030611293
Sharpen your cooking skills and improve your diet (and even your social life),"Cooking more meals at home is a great way to have more healthy food choices in your diet, and learning skills and techniques will enhance the range of dishes you’ll be able to prepare (and may have other benefits as well). If you need some help with your kitchen skills, classes are usually available through community education centers, cooking schools, and some retail stores.",Matthew Solan,"March 3, 2017",https://www.health.harvard.edu/blog/sharpen-cooking-skills-improve-diet-even-social-life-2017030311204
Some medications don’t help back pain as much as we thought,"With back pain affecting so many of us, it’s eye-opening that a new review of dozens of studies is reporting that many people who took NSAID medications did not feel any better, or felt only slightly better, after treatment.","Robert H. Shmerling, MD","March 2, 2017",https://www.health.harvard.edu/blog/medications-dont-help-back-pain-much-thought-2017030211208
Weight loss that works: A true story,,,"March 1, 2017",https://www.health.harvard.edu/blog/weight-loss-that-works-a-true-story-2017030111218
"Parents: As more states legalize marijuana, here’s what you need to know and do","As marijuana becomes legal or is decriminalized in more states, teens are less likely to view its use as risky, so parents need to talk with their children about safety, especially if they use it themselves.",Child & Teen Health,"February 28, 2017",https://www.health.harvard.edu/blog/states-legalize-marijuana-parents-teens-need-know-2017022811256
"Bad bug, no drugs: The real end of antibiotics?","The constant stream of antibiotics in the food we eat and in the hospitals that treat us is creating the perfect environment for antibiotic resistant bacteria. It’s not cost effective to develop new antibiotics to replace the now-useless ones, so our pipeline is drying up. And while this sounds bleak, there are things you can do as a consumer and as a patient to help. You can start by paying attention to the food you eat and by not pressing your doctor for unnecessary antibiotics. ","John Ross, MD, FIDSA","February 27, 2017",https://www.health.harvard.edu/blog/bad-bug-no-drugs-real-end-antibiotics-2017022711103
Finding the tick in time could save you from Lyme!,"Outdoor activities can be spoiled by getting Lyme disease from a tick bite. Know what to do to protect yourself (and your pets) from this infection and its unpleasant symptoms, as well as what to do if you have already been bitten. If you do end up with a tick “on board” it is important to remove it correctly and know when to call your doctor.","Meera Sunder, MBBS, MRCOG","February 24, 2017",https://www.health.harvard.edu/blog/finding-the-tick-in-time-could-save-you-from-lyme-2017022411241
Home sleep studies may help identify sleep apnea,"A sleep study is required to correctly diagnose sleep apnea, but laboratory sleep studies can be awkward and uncomfortable. Efforts to lower costs and make study subjects more at ease have led to the advent of in-home sleep studies.","Stuart Quan, MD","February 23, 2017",https://www.health.harvard.edu/blog/need-sleep-study-home-sweet-home-2017022311096
Unlocking the lock jaw: Temporomandibular joint dysfunction,,"Paul G. Mathew, MD, FAAN, FAHS","August 5, 2020",https://www.health.harvard.edu/blog/unlocking-the-lock-jaw-temporomandibular-joint-tmj-dysfunction-2017022211146
Parents: How to manage injuries at home—and when you need to go to the doctor,"Children are usually active and, as they explore the world, don’t have the common sense and good judgment of most adults. So, it is very common for kids to experience minor injuries throughout childhood. Parents need to know when and how to handle injuries at home and when medical advice or attention is needed. ",Child & Teen Health,"February 21, 2017",https://www.health.harvard.edu/blog/parents-how-to-manage-injuries-at-home-and-when-you-need-to-go-to-the-doctor-2017022111222
A primary care doctor delves into the opioid epidemic,"A new approach to treating the large numbers of people with opioid use disorder involves using medications to prevent withdrawal symptoms, and has been shown to be safer and more effective than traditional detox treatment, but some question the replacement of one drug with others.","Monique Tello, MD, MPH","February 20, 2017",https://www.health.harvard.edu/blog/a-primary-care-doctor-delves-into-the-opioid-epidemic-2017022011199
New imaging technique may help some men avoid prostate biopsy,"In a British study, a specialized type of MRI test did significantly better at identifying high-grade prostate tumors than a transrectal ultrasound biopsy. It’s hoped that one day this test might help men avoid prostate biopsies and their potential complications.",Cancer,"February 17, 2017",https://www.health.harvard.edu/blog/new-imaging-technique-may-help-men-avoid-prostate-biopsy-2017021711180
The underappreciated health benefits of being a weekend warrior,"While it’s been believed that intense exercise only on weekends is not an advisable or effective fitness routine, a new study suggests that, if done safely and for enough time to meet the recommended guidelines, weekend-only exercise can be beneficial.",Exercise & Fitness,"February 16, 2017",https://www.health.harvard.edu/blog/underappreciated-health-benefits-weekend-warrior-2017021611167
"Charles Darwin, Chagas’ disease, and the killer kissing bugs of California","An insect known as the kissing bug has the ability to pass along Chagas’ disease to unsuspecting people. While it affects more people in Latin America than in this country, this parasitic disease can still be a problem in the southwestern United States. Most cases of Chagas’ disease pass without much incidence, but it can cause lasting problems. The rates of Chagas’ disease could go up with climate change, and more research is definitely needed. Charles Darwin may be one of the first “researchers” on the subject, but he’s not to be the last.","John Ross, MD, FIDSA","February 15, 2017",https://www.health.harvard.edu/blog/charles-darwin-chagas-disease-and-the-killer-kissing-bugs-of-california-2017021511117
2017 update to the immunization schedule for kids,"The CDC and the AAP update their vaccine recommendations every year, and here are the latest changes. These updates show just how important it is to stay on top of research and help increase the effectiveness of each vaccine. The schedule for routine immunizations and catching up kids who get behind can be found on the CDC and AAP websites if you’d like more information. ",Child & Teen Health,"February 14, 2017",https://www.health.harvard.edu/blog/2017-update-immunization-schedule-kids-2017021411187
Snored to death: The symptoms and dangers of untreated sleep apnea,,"Paul G. Mathew, MD, FAAN, FAHS","August 5, 2020",https://www.health.harvard.edu/blog/snored-to-death-the-symptoms-and-dangers-of-untreated-sleep-apnea-2017021311159
A fix for dry eyes,,Heidi Godman,"October 5, 2020",https://www.health.harvard.edu/blog/a-fix-for-dry-eyes-201702102505
New imaging technique may help some men avoid prostate biopsy,"Men who have high levels of prostate-specific antigen (PSA) in their blood face troubling uncertainties. While it’s true that prostate cancer can elevate PSA, so can other conditions, including the benign prostate enlargement that afflicts many men as they get older. PSA levels also vary normally from one man to the next, and some men […]",Men's Health,"February 9, 2017",https://www.health.harvard.edu/blog/new-imaging-technique-may-help-men-avoid-prostate-biopsy-2-201702092486
Confessions of a breakfast skipper,"While most of us have heard that breakfast is the most important meal of the day, there is debate about the importance of breakfast continues. Research findings on breakfast and weight loss are inconsistent and inconclusive. And a recent study suggests that eating breakfast may not matter as much as has been previously believed, and skipping breakfast is fine for some people. But we probably haven’t heard the final word on this topic.","Robert H. Shmerling, MD","February 9, 2017",https://www.health.harvard.edu/blog/confessions-of-a-breakfast-skipper-2017020911073
Postpartum depression: The worst kept secret,"Postpartum depression carries an unfortunate stigma, as symptoms of depression affect nearly 20% of new mothers. Early detection is key to ensure the best health for not just women, but for their new infants and family members as well. Once diagnosed, there are several treatment options that can support new mothers during a time that can be both joyous and challenging.","Andrea Chisholm, MD","February 8, 2017",https://www.health.harvard.edu/blog/postpartum-depression-worst-kept-secret-2017020811008
The 4 symptoms that mean your child must stay home from school or daycare,,"Claire McCarthy, MD","October 22, 2019",https://www.health.harvard.edu/blog/the-4-symptoms-that-mean-your-child-must-stay-home-from-school-or-daycare-2017020711171
Not just for women: Kegel exercises good for men too,"Kegel exercises have long been considered “for women only,” but older men may be wise to reconsider this point of view. These simple and subtle pelvic floor exercises can can be performed while lying down, sitting, or standing and are known to help with some common unpleasantries that can come with age.",Men's Health,"February 6, 2017",https://www.health.harvard.edu/blog/kegels-to-strengthen-pelvic-floor-muscles-not-for-women-only-and-men-should-too-2017020611018
When a nasty stomach virus strikes…,"When one person in your household catches a stomach bug, it seems the rest of the household becomes sick almost instantly. This winter has been particularly difficult, which makes it all the more useful to know more: Why does this bug spread so quickly? And how do I prevent it?","Monique Tello, MD, MPH","February 3, 2017",https://www.health.harvard.edu/blog/when-a-nasty-stomach-virus-strikes-2017020311128
When are self-help programs “helpful”?,"There is an explosion of books, tapes, podcasts, programs, and apps that claim to provide self-help. If you are considering any sort of self-help program, making the effort to evaluate its merits (underlying research, if any; reputation and qualifications of its source; whether or not the program is a good match for your needs) will increase the odds you find something appropriate and effective.","Srini Pillay, MD","February 2, 2017",https://www.health.harvard.edu/blog/self-help-programs-helpful-2017020211069
Attention shoppers: Be wary of health claims on food packaging,"The term “healthy” has evolved greatly in the quarter century it has been used in the food industry. Despite recent updates in food labeling, which aim to create more well-informed consumers, inaccuracies remain in packaged foods with “healthy” claims. A closer look at nutrition data on packages can help you ensure you’re getting what you pay for. ",Beverly Merz,"February 1, 2017",https://www.health.harvard.edu/blog/attention-shoppers-be-wary-of-health-claims-on-food-packaging-2017020110963
What parents need to know about baby monitoring apps,"Smartphone apps claim to help parents monitor their babies, but there is no evidence that using any app will help keep babies safer. More importantly, it’s vital for new parents need to spend time observing their babies in person, in order to learn their range of behaviors. Technology can definitely help make life safer and better. But it’s important to be really thoughtful and careful in how we choose and use technology when it comes to the health and safety of our children.",Child & Teen Health,"January 31, 2017",https://www.health.harvard.edu/blog/parents-need-know-baby-monitoring-apps-2017013111140
Taking medications correctly requires clear communication,"Taking medications incorrectly means that patients don’t get the full benefit of the drugs and may experience unnecessary (or unnecessarily severe) side effects. The result can even cause a simple ailment to turn into a hospital stay. It’s essential that patients understand when to take their medications, and why they’re taking them in the first place. This understanding relies heavily on successful communication between patients and their doctors. Gaps, such as language barriers, can be bridged in a number of ways.","David Scales, MPhil, MD, PhD","January 30, 2017",https://www.health.harvard.edu/blog/taking-medications-correctly-requires-clear-communication-2017013011043
Personalized activity intelligence: A better way to track exercise?,"Small devices and smart phone apps that are designed to track fitness activities don’t necessarily provide the most accurate information. A recent Norwegian study, involving thousands of participants, has led researchers to develop a more precise method for measuring cardiovascular activity on electronic devices. Personalized Activity Intelligence, or PAI, is a formula that converts your heart rate to a number of points, based on your age, gender, resting heart rate, and maximum heart rate. ",Exercise & Fitness,"January 27, 2017",https://www.health.harvard.edu/blog/personalized-activity-intelligence-better-way-track-exercise-2017012711031
Does your doctor’s gender matter?,"A recent study involving over one million Medicare enrollees found that these older patients had more successful outcomes when under the care of a female physician verses a male physician. A thorough reading of the study seems to support that gender made the difference, but the takeaway is that it’s important to understand the differences between how women and men practice medicine and why these might be important. Most likely each gender has something to learn from the other. ","Robert H. Shmerling, MD","January 26, 2017",https://www.health.harvard.edu/blog/does-your-doctors-gender-matter-2017012611062
What is prediabetes and why does it matter?,"Considering the range and severity of health problems caused by diabetes, the focus on treating prediabetes in order to prevent it from becoming diabetes is sensible, and a large study found that it is possible. A healthy diet and adequate physical activity can help most people side step this condition. For some, medication is also necessary.",Exercise & Fitness,"January 25, 2017",https://www.health.harvard.edu/blog/what-is-prediabetes-and-why-does-it-matter-2017012511025
Why medical experts say that teens should be allowed to make the abortion decision without telling their parents,"The belief that teens should have the right to an abortion without parental knowledge or consent is supported by a group of medical associations, and is based primarily on concerns about safety and the medical consequences of requiring that parents be informed.",Child & Teen Health,"January 24, 2017",https://www.health.harvard.edu/blog/why-medical-experts-say-that-teens-should-be-allowed-to-make-the-abortion-decision-without-telling-their-parents-2017012411079
Let the sun shine: Mind your mental health this winter,There are several ways to tackle the changes in mood and energy levels that can arise as the days get the shorter and the weather more dreary. A form of depression called Seasonal Affective Disorder (SAD) affects many people during the winter months. It’s also important to take steps to mind your mental health during the winter months and to know when to seek the help of a medical professional. ,"Dominic Wu, MD","January 23, 2017",https://www.health.harvard.edu/blog/let-the-sun-shine-mind-your-mental-health-this-winter-2017012311058
5 ways to hold on to optimism — and reap health benefits,"Despite many Americans feeling discouraged as 2016 ended, optimism abounds for the future. Such an attitude is not just a trait of those with a sunny disposition: Research indicates that optimism can positively impact both mental and physical health. If you find yourself with a more cynical mindset, there are methods that can improve your outlook on life. We offer five ways to help you see the world through rosier glasses.",Beverly Merz,"January 20, 2017",https://www.health.harvard.edu/blog/hold-optimism-reap-health-benefits-2017012011003
What the 21st Century Cures Act means for behavioral health,"The 21st Century Cures Act, passed by Congress and signed into law by President Obama in December, provides or extends funding for a variety of health initiatives, including support for people with mental health and substance use issues. It builds on important innovations introduced in the Mental Health Parity and Addictions Equity Act and the Affordable Care Act. ","Richard Frank, PhD","January 19, 2017",https://www.health.harvard.edu/blog/21st-century-cures-act-means-behavioral-health-2017011910982
Understanding head injuries,"Treatment for a head injury depends on the nature of the injury, whether or not there is bleeding in the brain, whether the bleeding is coming from an artery or a vein, and several other factors. Imaging may or may not be needed and doctors rely on well-established guidelines to determine when a CT or other scan is necessary. Most important, do everything you can to avoid head injuries, including proper use of helmets.","Jonathan Nadler, MD","January 18, 2017",https://www.health.harvard.edu/blog/understanding-head-injuries-2017011810987
New guidelines for preventing peanut allergy in babies,"New guidelines to prevent peanut allergies in children involve careful exposure to peanut products. Experts identify three levels of “allergy risk.” The safest approach to exposure depends on which category a baby is in. It is always important to discuss this with your doctor before introducing peanut products. Some babies may need allergy testing before trying this. No matter the strategy, parents need to remember that peanuts are a choking hazard for young children and many babies have trouble managing peanut butter, so it needs to be used carefully.",Child & Teen Health,"January 17, 2017",https://www.health.harvard.edu/blog/new-guidelines-preventing-peanut-allergy-babies-2017011711049
Racism and discrimination in health care: Providers and patients,,,"January 16, 2017",https://www.health.harvard.edu/blog/racism-discrimination-health-care-providers-patients-2017011611015
The power and prevalence of loneliness,"In addition to the emotional toll felt by millions of older people, loneliness affects brain function and physical health as well. The simple connection of regular contact with others provides support and helps alleviate isolation. Older people experiencing loneliness also miss simple everyday moments, such as sharing a meal, holding hands, taking country walks, or going on holiday.","Charlotte S. Yeh, MD","January 13, 2017",https://www.health.harvard.edu/blog/the-power-and-prevalence-of-loneliness-2017011310977
Preventing and treating colds: The evidence and the anecdotes,"No one wants to deal with the misery of a cold, and nothing is guaranteed to prevent you from catching one, but some basic precautions can help reduce the risk. If you already have a cold, certain treatments are definitely more effective than others.","Monique Tello, MD, MPH","January 12, 2017",https://www.health.harvard.edu/blog/preventing-and-treating-colds-the-evidence-and-the-anecdotes-2017011210972
Your New Year’s resolution: A gym membership?,"If you are ready to make a commitment to improve your fitness and health, joining a gym gives you a wide variety of options for equipment and types of workouts. This can help you sidestep workout boredom and help you meet recommended physical activity guidelines. But before you sign up, take time to ask questions to be sure the gym meets your needs and budget.",Exercise & Fitness,"January 11, 2017",https://www.health.harvard.edu/blog/new-years-resolution-gym-membership-2017011110991
3 things you can do when your child’s eczema gets bad,"Simple steps and treatments, including the right moisturizer, can ease the discomfort of eczema for children during the winter months. As with any chronic health problem, it’s important to work with your doctor to create a plan to manage flare ups, as well as a strategy to prevent them from happening in the first place.",Child & Teen Health,"January 10, 2017",https://www.health.harvard.edu/blog/3-things-you-can-do-when-your-childs-eczema-gets-bad-2017011010996
A healthy lifestyle may help you sidestep Alzheimer’s,"By now it’s evident that healthy lifestyle habits have clear benefits, and evidence suggests that keeping Alzheimer’s disease at bay may eventually be added to the list. Data are strongest for regular exercise, a Mediterranean diet, and sufficient sleep as important ways to reduce the risk of Alzheimer’s. Other lifestyle choices may help as well.",Heidi Godman,"January 9, 2017",https://www.health.harvard.edu/blog/a-healthy-lifestyle-may-help-you-sidestep-alzheimers-2017010910955
Lost in translation: Getting your doctor to be fluent in “patient”,Medical knowledge is growing at a rapid pace and technology is playing a larger role in medical practice. Office visits are becoming shorter in length and there is usually much to cover. That can make a doctor’s appointment challenging for both patient and physician. Strong communication is essential to help ensure that both patient and doctor make the best use of this time. Some simple steps can help you get the most from your time with your doctor and help ensure that you understand and can successfully act on his or her recommendations.,"Paul G. Mathew, MD, FAAN, FAHS","January 6, 2017",https://www.health.harvard.edu/blog/lost-translation-getting-doctor-fluent-patient-2017010610884
"The data are in: Eat right, reduce your risk of diabetes","Data from surveys of 200,000 people spanning two decades add support to the belief that eating a diet made up largely of plant-based foods is likely to lower a person’s risk of developing diabetes.","Robert H. Shmerling, MD","January 5, 2017",https://www.health.harvard.edu/blog/the-data-are-in-eat-right-avoid-diabetes-2017010510936
Antibiotics don’t speed recovery from asthma attacks,"Winter is often a tough season for asthma sufferers, who generally more likely to become sick than those without asthma. It’s important for asthma patients to receive proper care when ill, and a recent study sheds new light on a common treatment that might not be the best course of action for most asthmatics. ","Nandini Mani, MD","January 4, 2017",https://www.health.harvard.edu/blog/antibiotics-dont-speed-recovery-asthma-attacks-2017010410941
Bronchiolitis: What parents of infants need to know,,Diseases & Conditions,"August 16, 2020",https://www.health.harvard.edu/blog/bronchiolitis-what-parents-of-infants-need-to-know-2017010310948
Immediate radiation when PSA levels spike after prostate cancer surgery helps reduce risk of recurrence,"After prostate cancer surgery, the patient’s prostate-specific antigen (PSA) is monitored by his doctor via a simple blood test. New research indicates that if the PSA increases following surgery, immediate radiation therapy can reduce the risk of cancer recurrence. ",Cancer,"December 29, 2016",https://www.health.harvard.edu/blog/new-study-recommends-immediate-radiation-when-psa-levels-spike-after-prostate-cancer-surgery-2016122910868
Spinning out of control: Vertigo,"Vertigo occurs when the systems the body uses to maintain balance send contradictory information to the brain, causing a sensation of movement when you’re actually standing still. It’s very common for people to experience vertigo while on board boats. There are several medications that can ease the discomfort of vertigo.","Paul G. Mathew, MD, FAAN, FAHS","December 27, 2016",https://www.health.harvard.edu/blog/spinning-out-of-control-vertigo-2016122710919
Don’t tolerate food intolerance,"Food intolerances become more common with age, and such problems are not necessarily linked to an allergy or disease. There are ways to pinpoint what is disturbing your digestive system and there are simple steps you can take to ease digestive distress and even continue to enjoy many of the foods you love.",Matthew Solan,"December 23, 2016",https://www.health.harvard.edu/blog/dont-tolerate-food-intolerance-2016122310829
Is aspirin a wonder drug?,"People at high risk for heart problems are often prescribed a daily low-dose aspirin, but many more people who could benefit from taking aspirin do not do so. A recent analysis suggests that for people ages 51 to 79  in the United States, regular low-dose aspirin can help reduce rates of heart disease and some cancers as well as save substantial health care dollars.","Robert H. Shmerling, MD","December 22, 2016",https://www.health.harvard.edu/blog/aspirin-wonder-drug-2016122210916
Making health decisions in the face of uncertainty: Let your values be your guide,"One of the biggest challenges for doctors and their patients is making decisions without complete certainty, so they must work together to determine the point at which the risk of further testing ceases to be acceptable. A patient’s personal values and health goals are important factors in health decisions, especially in the face of uncertainty.","David Scales, MPhil, MD, PhD","December 21, 2016",https://www.health.harvard.edu/blog/uncertainty-in-medicine-and-making-health-decisions-let-your-values-be-your-guide-2016122110874
"5 (relatively) easy New Year’s resolutions for healthier, happier kids (and families)","As the year draws to a close, many of us take on well-intentioned, and often ambitious New Year’s resolutions. But improved health and happiness can be obtained through smaller lifestyle changes that will benefit both adults and children.",Child & Teen Health,"December 20, 2016",https://www.health.harvard.edu/blog/5-relatively-easy-new-years-resolutions-to-help-your-child-and-family-be-healthier-and-happier-2016122010902
"Vitamin D: What’s the ""right"" level?",,"Monique Tello, MD, MPH","April 16, 2020",https://www.health.harvard.edu/blog/vitamin-d-whats-right-level-2016121910893
Can genetic testing help determine the best medications for you?,"The use of pharmacogenomics, the study of how a person’s genes affect the body’s metabolizing of medications, can help doctors predict if a person will have a negative reaction to a particular medication, or whether one drug may provide better results than another. However, this information is just one piece of the puzzle when trying to help find the medication that will provide the greatest benefit with the fewest side effects.","Shannon Manzi, PharmD","December 16, 2016",https://www.health.harvard.edu/blog/can-genetic-testing-help-determine-the-best-medications-for-you-2016121610888
The “thinking” benefits of doodling,"Remaining focused for extended periods of time is difficult, but researchers believe that doodling gives a break to parts of the brain, making it possible to absorb and retain more information overall. While this phenomenon is not well understood, neuroscience is starting to learn how doodling might help boost attention and and focus.","Srini Pillay, MD","December 15, 2016",https://www.health.harvard.edu/blog/the-thinking-benefits-of-doodling-2016121510844
New study recommends immediate radiation when PSA Levels spike after prostate cancer surgery,"Following surgery to remove a cancerous prostate gland, some men experience a biochemical recurrence, meaning that prostate-specific antigen (PSA) has become detectable in their blood. Since only the prostate releases PSA, removing the gland should drop this protein to undetectable levels in the body. Detecting PSA could signify that prostate cancer cells are lingering, and […]",Men's Health,"December 14, 2016",https://www.health.harvard.edu/blog/new-study-recommends-immediate-radiation-psa-levels-spike-prostate-cancer-surgery-201612142477
How much artificial trans fat is still in our food?,"Although the FDA has mandated that trans fats must be removed from processed foods in 2018, many products still contain the fats. Because small amounts are not required to be listed on the Nutrition Facts label, consumers must read ingredient lists to find these fats. The trick to finding trans fats: read the ingredient lists on Nutrition Facts labels. If partially hydrogenated oil is among the ingredients, you’ll know the food contains trans fat, even if the label states that a serving has zero grams of trans fat.",Heidi Godman,"December 14, 2016",https://www.health.harvard.edu/blog/how-much-artificial-trans-fat-is-still-in-our-food-2016121410859
The 3 kinds of toys that really help your child,"During the holiday season, advertisers push numerous toys on consumers that do not necessarily have the positive impact on a child’s life that are promised. There are other options during this holiday season, gifts as simple as blank paper for drawing, that can stimulate children both mentally and physically.",Child & Teen Health,"December 13, 2016",https://www.health.harvard.edu/blog/3-kinds-toys-really-help-child-2016121310853
Keeping the human connection in medicine,"As the practice of medicine evolves, electronic medical records can simplify care and help make it more thorough, but the tools that help make doctors more efficient, have real consequences for how doctors interact with their patients, and one another. Doctors must work harder to maintain good communication and relationships with their patients and colleagues.","John Sanford Limouze, MD","December 12, 2016",https://www.health.harvard.edu/blog/keeping-the-human-connection-in-medicine-2016121210837
Understanding suicide in children and early adolescents may lead to more effective prevention,"Though suicide in children and young adolescents is rare, it is still a far-too-frequent occurrence. It is also one that is increasing, particularly in black youth. There are differences in the characteristics and circumstances of children and adolescents who commit suicide. A better understanding of these could lead to more effective prevention programs.",Child & Teen Health,"December 9, 2016",https://www.health.harvard.edu/blog/understanding-suicide-in-children-and-early-adolescents-may-lead-to-more-effective-prevention-2016120910715
Cervical cancer screening update: Not your mother’s Pap smear,,"Andrea Chisholm, MD","September 13, 2021",https://www.health.harvard.edu/blog/cervical-cancer-screening-update-not-mothers-pap-smear-2016120810824
Spice up your holidays with brain-healthy seasonings,"Spices and herbs have a long history as a safe component of human diets and traditional health practices. Aromatic ingredients that flavor our holiday meals also deliver antioxidants, anti-inflammatory agents, and other bioactive compounds that benefit the brain.","Uma Naidoo, MD","December 7, 2016",https://www.health.harvard.edu/blog/spice-up-your-holidays-with-brain-healthy-seasonings-2016120710734
The 3 biggest feeding mistakes you can make with your preschooler,"Instilling good eating habits in children is not easy, especially when they are young. It’s important for parents to set rules and limits around meals and snacks, and just as important to stick to them, which is the difficult part. It can take a many tries before a child figures out that healthy foods like kale, strawberries, or brown rice taste great. ",Child & Teen Health,"December 6, 2016",https://www.health.harvard.edu/blog/the-3-biggest-feeding-mistakes-you-can-make-with-your-preschooler-2016120610804
"Colon cancer screening: Is there an easier, effective way?","The preparations necessary for a colonoscopy can be as unpleasant as the test itself, if not more so. A new test can be completed at home and requires no special prep, but the test is more likely to return a false positive, requiring further testing. In addition, some of the research supporting this test was done by the company or co-inventors, so more research is needed.",Cancer,"December 5, 2016",https://www.health.harvard.edu/blog/colon-cancer-screening-is-there-an-easier-effective-way-2016120510751
Why you should keep tabs on your drinking,"During the holiday season it’s not difficult to overindulge and too much alcohol. There’s a well-established connection between binge drinking and atrial fibrillation or afib, an irregular heart rhythm that can increase the risk of a stroke. It’s known as holiday heart syndrome.  A recent study suggests that even more moderate alcohol consumption may increase the risk. ",Heart Health,"December 2, 2016",https://www.health.harvard.edu/blog/why-you-should-keep-tabs-on-your-drinking-2016120210686
Sinus headache or sign-us up for a migraine consultation,,Harvard Health Publishing Staff,"February 12, 2021",https://www.health.harvard.edu/blog/sinus-headache-or-sign-us-up-for-a-migraine-consultation-2016120110758
The health advantages of marriage,"People who are married tend to be in better overall health than people who are not, but the reasons for this are not clear.  Researchers believe there are a number of possible factors that influence this association, including cortisol levels, mental health, and better health habits.",Men's Health,"November 30, 2016",https://www.health.harvard.edu/blog/the-health-advantages-of-marriage-2016113010667
6 tips for making the most of your child’s checkup,"Planning ahead of your child’s annual check-up can help you and the doctor get the most out of the visit. And be sure to take advantage of the resources available to you, such as email portals and the nurses and other staff in the doctor’s office. You might even consider making an appointment before the checkup. Doing so can be really helpful, especially when there is something complicated going on — like asthma acting up, school problems, worries about behavior, or a family crisis. ",Child & Teen Health,"November 29, 2016",https://www.health.harvard.edu/blog/6-tips-for-making-the-most-of-your-childs-checkup-2016112910767
Sexually transmitted infections on the rise,"Rates of several common sexually transmitted infections have been rising during the past few years. Many people with an STI have no idea they have been infected, so testing is crucial. If someone doesn’t know that they are infected, they can’t get treated. If they don’t get treated and have unprotected sex they will pass these infections to others.","Monique Tello, MD, MPH","November 28, 2016",https://www.health.harvard.edu/blog/sexually-transmitted-infections-on-the-rise-2016112810653
"Now hear this, men: Hearing aids can be a life changer","Many older men need hearing aids, but are reluctant to wear them. Because hearing loss is associated with greater risks for certain conditions including depression, anyone who suspects their hearing is deteriorating should have a hearing test. It is important to note that hearing aids make sounds louder, but not clearer. There are other ways to improve communication with or without a hearing aid. ",Men's Health,"November 25, 2016",https://www.health.harvard.edu/blog/now-hear-men-hearing-aids-can-life-changer-2016112510674
"Anti-inflammatory medications and the risk for cardiovascular disease: A new study, a new perspective",The results of a large study of the anti-inflammatory medication celecoxib in people with arthritis and increased risk for cardiovascular disease are changing previously held beliefs regarding the drug raising the risk of heart attack or stroke. ,Heart Health,"November 23, 2016",https://www.health.harvard.edu/blog/anti-inflammatory-medications-and-the-risk-for-cardiovascular-disease-a-new-study-a-new-perspective-2016112310725
Movember: Stashing prostate and testicular cancer awareness into the limelight,The Movember movement began in 2003 to help raise awareness of prostate and testicular cancers as well as other health concerns including mental health issues. One of the primary goals of this initiative is to encourage men to take the time to pay attention to their health. This includes doing self-exams and getting the necessary screenings so that cancers can be detected and treated earlier.,Cancer,"November 22, 2016",https://www.health.harvard.edu/blog/movember-stashing-prostate-and-testicular-cancer-awareness-into-the-limelight-2016112210740
Let’s recognize caregivers and make it easier for all of us to do the right thing,"November is National Family Caregivers Month. Being a caregiver is an act of love and responsibility, but it comes at a cost. There are currently 40 million caregivers in the United States. These individuals devote time to take care of a loved one, endure stress that carries health risks, and often bear a financial burden as well. It is hard work and it’s worth taking a moment to appreciate those who are caregivers. Ideally, doctors and the health care system will find ways to help caregivers integrate their responsibilities into the workflow of their lives in the interest of better outcomes for everyone.","Charlotte S. Yeh, MD","November 21, 2016",https://www.health.harvard.edu/blog/lets-recognize-caregivers-and-make-it-easier-for-all-of-us-to-do-the-right-thing-2016112110705
